clave,clave_ent,nom_ent,mun,pop,icu,beds,cve_sun,nom_sun
16008,16,Michoacán,Aquila,26147,0,17,NA,NA
16009,16,Michoacán,Ario,38656,0,58,NA,NA
16010,16,Michoacán,Arteaga,22819,0,10,NA,NA
16011,16,Michoacán,Briseñas,11960,0,0,NA,NA
16012,16,Michoacán,Buenavista,49450,0,30,NA,NA
16013,16,Michoacán,Carácuaro,9652,0,0,NA,NA
16014,16,Michoacán,Coahuayana,15155,0,10,NA,NA
16015,16,Michoacán,Coalcomán de Vázquez Pallares,18450,0,22,NA,NA
16016,16,Michoacán,Coeneo,21736,0,10,NA,NA
16017,16,Michoacán,Contepec,35877,0,0,NA,NA
16018,16,Michoacán,Copándaro,9487,0,3,NA,NA
16019,16,Michoacán,Cotija,19674,0,8,NA,NA
16020,16,Michoacán,Cuitzeo,31334,0,8,NA,NA
16021,16,Michoacán,Charapan,13006,0,0,NA,NA
16022,16,Michoacán,Charo,23273,18,519,M16.02,Morelia
16023,16,Michoacán,Chavinda,10785,0,0,NA,NA
16024,16,Michoacán,Cherán,20016,0,12,NA,NA
16025,16,Michoacán,Chilchota,41138,0,0,NA,NA
16026,16,Michoacán,Chinicuila,5016,0,0,NA,NA
16027,16,Michoacán,Chucándiro,4567,0,2,NA,NA
16028,16,Michoacán,Churintzio,5345,0,1,NA,NA
16029,16,Michoacán,Churumuco,15902,0,0,NA,NA
16030,16,Michoacán,Ecuandureo,13168,0,0,NA,NA
16031,16,Michoacán,Epitacio Huerta,17519,0,3,NA,NA
16032,16,Michoacán,Erongarícuaro,16105,0,0,NA,NA
16033,16,Michoacán,Gabriel Zamora,23887,0,0,NA,NA
16034,16,Michoacán,Hidalgo,129114,0,122,NA,NA
16035,16,Michoacán,La Huacana,35584,0,18,NA,NA
16036,16,Michoacán,Huandacareo,12489,0,5,NA,NA
16037,16,Michoacán,Huaniqueo,8412,0,5,NA,NA
16038,16,Michoacán,Huetamo,42622,0,73,NA,NA
16039,16,Michoacán,Huiramba,9250,0,0,NA,NA
16040,16,Michoacán,Indaparapeo,17595,0,10,NA,NA
16041,16,Michoacán,Irimbo,15916,0,4,NA,NA
16042,16,Michoacán,Ixtlán,13523,0,0,NA,NA
16043,16,Michoacán,Jacona,72669,0,14,M16.03,Zamora
16044,16,Michoacán,Jiménez,13350,0,12,NA,NA
16045,16,Michoacán,Jiquilpan,34725,0,30,NA,NA
16046,16,Michoacán,Juárez,15290,0,0,NA,NA
16047,16,Michoacán,Jungapeo,22358,0,0,NA,NA
16048,16,Michoacán,Lagunillas,5862,0,3,NA,NA
16049,16,Michoacán,Madero,18769,0,8,NA,NA
16050,16,Michoacán,Maravatío,92676,0,82,NA,NA
16051,16,Michoacán,Marcos Castellanos,14517,0,4,NA,NA
16052,16,Michoacán,Lázaro Cárdenas,192153,2,226,NA,NA
16053,16,Michoacán,Morelia,825585,31,1468,M16.02,Morelia
16054,16,Michoacán,Morelos,7866,0,0,NA,NA
16055,16,Michoacán,Múgica,47864,0,22,NA,NA
16056,16,Michoacán,Nahuatzen,29906,0,5,NA,NA
16057,16,Michoacán,Nocupétaro,8501,0,18,NA,NA
16058,16,Michoacán,Nuevo Parangaricutiro,20844,0,0,NA,NA
16059,16,Michoacán,Nuevo Urecho,8480,0,0,NA,NA
16060,16,Michoacán,Numarán,10290,0,0,NA,NA
16061,16,Michoacán,Ocampo,25418,0,0,NA,NA
16062,16,Michoacán,Pajacuarán,20338,0,6,NA,NA
16063,16,Michoacán,Panindícuaro,16536,0,8,NA,NA
16064,16,Michoacán,Parácuaro,27992,0,0,NA,NA
16065,16,Michoacán,Paracho,39341,0,36,NA,NA
16066,16,Michoacán,Pátzcuaro,98122,0,114,NA,NA
16067,16,Michoacán,Penjamillo,17752,0,4,NA,NA
16068,16,Michoacán,Peribán,29376,0,0,NA,NA
16069,16,Michoacán,La Piedad,110385,0,189,M16.01,La Piedad-Pénjamo
16070,16,Michoacán,Purépero,16103,0,24,NA,NA
16071,16,Michoacán,Puruándiro,70372,0,116,NA,NA
16072,16,Michoacán,Queréndaro,14356,0,13,NA,NA
16073,16,Michoacán,Quiroga,29118,0,24,NA,NA
16074,16,Michoacán,Cojumatlán de Régules,10935,0,0,NA,NA
16075,16,Michoacán,Los Reyes,73199,0,92,NA,NA
16076,16,Michoacán,Sahuayo,81371,0,111,NA,NA
16077,16,Michoacán,San Lucas,18936,0,0,NA,NA
16078,16,Michoacán,Santa Ana Maya,13124,0,0,NA,NA
16079,16,Michoacán,Salvador Escalante,51652,0,2,NA,NA
16080,16,Michoacán,Senguio,19980,0,0,NA,NA
16081,16,Michoacán,Susupuato,9161,0,0,NA,NA
16082,16,Michoacán,Tacámbaro,81105,0,68,NA,NA
16083,16,Michoacán,Tancítaro,32707,0,0,NA,NA
16084,16,Michoacán,Tangamandapio,30945,0,16,NA,NA
16085,16,Michoacán,Tangancícuaro,35305,0,18,NA,NA
16086,16,Michoacán,Tanhuato,16286,0,3,NA,NA
16087,16,Michoacán,Taretan,15465,0,6,NA,NA
16088,16,Michoacán,Tarímbaro,119032,0,27,M16.02,Morelia
16089,16,Michoacán,Tepalcatepec,24911,0,0,NA,NA
16090,16,Michoacán,Tingambato,15878,0,0,NA,NA
16091,16,Michoacán,Tingüindín,15337,0,0,NA,NA
16092,16,Michoacán,Tiquicheo de Nicolás Romero,14082,0,0,NA,NA
16093,16,Michoacán,Tlalpujahua,30331,0,0,NA,NA
16094,16,Michoacán,Tlazazalca,6654,0,3,NA,NA
16095,16,Michoacán,Tocumbo,12593,0,0,NA,NA
16096,16,Michoacán,Tumbiscatío,6992,0,0,NA,NA
16097,16,Michoacán,Turicato,32588,0,5,NA,NA
16098,16,Michoacán,Tuxpan,28471,0,49,NA,NA
16099,16,Michoacán,Tuzantla,15964,0,23,NA,NA
16100,16,Michoacán,Tzintzuntzan,15139,0,0,NA,NA
16101,16,Michoacán,Tzitzio,9026,0,0,NA,NA
16102,16,Michoacán,Uruapan,354727,0,380,NA,NA
16103,16,Michoacán,Venustiano Carranza,26074,0,4,NA,NA
16104,16,Michoacán,Villamar,17460,0,30,NA,NA
16105,16,Michoacán,Vista Hermosa,21677,0,5,NA,NA
16106,16,Michoacán,Yurécuaro,33136,0,17,NA,NA
16107,16,Michoacán,Zacapu,79809,0,200,NA,NA
16108,16,Michoacán,Zamora,207985,0,348,M16.03,Zamora
16109,16,Michoacán,Zináparo,3343,0,0,NA,NA
16110,16,Michoacán,Zinapécuaro,49471,0,18,NA,NA
16111,16,Michoacán,Ziracuaretiro,18251,0,0,NA,NA
16112,16,Michoacán,Zitácuaro,172015,0,154,NA,NA
16113,16,Michoacán,José Sixto Verduzco,27504,0,4,NA,NA
17001,17,Morelos,Amacuzac,18861,0,0,NA,NA
17002,17,Morelos,Atlatlahucan,24153,0,0,M17.01,Cuautla
17003,17,Morelos,Axochiapan,38236,0,100,NA,NA
17004,17,Morelos,Ayala,91043,0,3,M17.01,Cuautla
17005,17,Morelos,Coatlán del Río,10479,0,1,NA,NA
17006,17,Morelos,Cuautla,208227,3,323,M17.01,Cuautla
17007,17,Morelos,Cuernavaca,399426,24,562,M17.02,Cuernavaca
17008,17,Morelos,Emiliano Zapata,106645,13,179,M17.02,Cuernavaca
17009,17,Morelos,Huitzilac,20372,0,0,M17.02,Cuernavaca
17010,17,Morelos,Jantetelco,18361,0,0,NA,NA
17011,17,Morelos,Jiutepec,227649,0,13,M17.02,Cuernavaca
17012,17,Morelos,Jojutla,61366,0,67,NA,NA
17013,17,Morelos,Jonacatepec,16732,0,18,NA,NA
17014,17,Morelos,Mazatepec,10691,0,0,NA,NA
17015,17,Morelos,Miacatlán,28263,0,2,NA,NA
17016,17,Morelos,Ocuituco,19683,0,12,NA,NA
17017,17,Morelos,Puente de Ixtla,70917,0,12,NA,NA
17018,17,Morelos,Temixco,123812,0,32,M17.02,Cuernavaca
17019,17,Morelos,Tepalcingo,28871,0,3,NA,NA
17020,17,Morelos,Tepoztlán,51373,0,3,M17.02,Cuernavaca
17021,17,Morelos,Tetecala,8326,0,38,NA,NA
17022,17,Morelos,Tetela del Volcán,22015,0,5,NA,NA
17023,17,Morelos,Tlalnepantla,7714,0,0,NA,NA
17024,17,Morelos,Tlaltizapán de Zapata,55553,0,0,M17.02,Cuernavaca
17025,17,Morelos,Tlaquiltenango,36147,0,2,NA,NA
17026,17,Morelos,Tlayacapan,19129,0,0,M17.01,Cuautla
17027,17,Morelos,Totolapan,12802,0,0,NA,NA
17028,17,Morelos,Xochitepec,74691,0,0,M17.02,Cuernavaca
17029,17,Morelos,Yautepec,109914,4,83,M17.01,Cuautla
17030,17,Morelos,Yecapixtla,56334,0,19,M17.01,Cuautla
17031,17,Morelos,Zacatepec,39137,0,50,NA,NA
17032,17,Morelos,Zacualpan,10182,0,0,NA,NA
17033,17,Morelos,Temoac,16954,0,0,NA,NA
18001,18,Nayarit,Acaponeta,40422,0,39,NA,NA
18002,18,Nayarit,Ahuacatlán,17226,0,0,NA,NA
18003,18,Nayarit,Amatlán de Cañas,12736,0,0,NA,NA
18004,18,Nayarit,Compostela,81920,0,45,NA,NA
18005,18,Nayarit,Huajicori,13540,0,0,NA,NA
18006,18,Nayarit,Ixtlán del Río,31770,0,46,NA,NA
18007,18,Nayarit,Jala,20016,0,0,NA,NA
18008,18,Nayarit,Xalisco,62038,0,0,M18.01,Tepic
18009,18,Nayarit,Del Nayar,45317,0,15,NA,NA
18010,18,Nayarit,Rosamorada,37093,0,40,NA,NA
18011,18,Nayarit,Ruíz,26928,0,0,NA,NA
18012,18,Nayarit,San Blas,48024,0,15,NA,NA
18013,18,Nayarit,San Pedro Lagunillas,8231,0,0,NA,NA
18014,18,Nayarit,Santa María del Oro,25510,0,0,NA,NA
18015,18,Nayarit,Santiago Ixcuintla,106038,0,56,NA,NA
18016,18,Nayarit,Tecuala,43043,0,24,NA,NA
18017,18,Nayarit,Tepic,445889,21,840,M18.01,Tepic
18018,18,Nayarit,Tuxpan,33358,0,30,NA,NA
18019,18,Nayarit,La Yesca,14962,0,12,NA,NA
18020,18,Nayarit,Bahía de Banderas,174510,0,85,M14.03,Puerto Vallarta
19001,19,Nuevo León,Abasolo,2918,0,0,M19.01,Monterrey
19002,19,Nuevo León,Agualeguas,2599,0,0,NA,NA
19003,19,Nuevo León,Los Aldamas,1506,0,0,NA,NA
19004,19,Nuevo León,Allende,38297,0,4,NA,NA
19005,19,Nuevo León,Anáhuac,19976,0,0,NA,NA
19006,19,Nuevo León,Apodaca,665734,14,166,M19.01,Monterrey
19007,19,Nuevo León,Aramberri,17800,0,0,NA,NA
19008,19,Nuevo León,Bustamante,4384,0,0,NA,NA
19009,19,Nuevo León,Cadereyta Jiménez,105145,3,63,M19.01,Monterrey
19010,19,Nuevo León,El Carmen,47326,0,0,M19.01,Monterrey
19011,19,Nuevo León,Cerralvo,8324,0,30,NA,NA
19012,19,Nuevo León,Ciénega de Flores,50563,0,0,M19.01,Monterrey
19013,19,Nuevo León,China,11962,0,11,NA,NA
19014,19,Nuevo León,Doctor Arroyo,37859,0,50,NA,NA
19015,19,Nuevo León,Doctor Coss,1845,0,0,NA,NA
19016,19,Nuevo León,Doctor González,3294,0,0,NA,NA
19017,19,Nuevo León,Galeana,44989,0,30,NA,NA
19018,19,Nuevo León,García,300745,0,10,M19.01,Monterrey
19019,19,Nuevo León,San Pedro Garza García,137614,0,150,M19.01,Monterrey
19020,19,Nuevo León,General Bravo,6127,0,0,NA,NA
19021,19,Nuevo León,General Escobedo,466325,0,38,M19.01,Monterrey
19022,19,Nuevo León,General Terán,16283,0,1,NA,NA
19023,19,Nuevo León,General Treviño,1194,0,0,NA,NA
19024,19,Nuevo León,General Zaragoza,6604,0,0,NA,NA
19025,19,Nuevo León,General Zuazua,91913,0,0,M19.01,Monterrey
19026,19,Nuevo León,Guadalupe,710413,22,596,M19.01,Monterrey
19027,19,Nuevo León,Los Herreras,1998,0,0,NA,NA
19028,19,Nuevo León,Higueras,1712,0,0,NA,NA
19029,19,Nuevo León,Hualahuises,7746,0,0,NA,NA
19030,19,Nuevo León,Iturbide,3979,0,0,NA,NA
19031,19,Nuevo León,Juárez,396864,0,9,M19.01,Monterrey
19032,19,Nuevo León,Lampazos de Naranjo,5783,0,0,NA,NA
19033,19,Nuevo León,Linares,88689,0,64,NA,NA
19034,19,Nuevo León,Marín,6199,0,0,NA,NA
19035,19,Nuevo León,Melchor Ocampo,1071,0,0,NA,NA
19036,19,Nuevo León,Mier y Noriega,7601,0,0,NA,NA
19037,19,Nuevo León,Mina,5882,0,0,NA,NA
19038,19,Nuevo León,Montemorelos,67657,0,174,NA,NA
19039,19,Nuevo León,Monterrey,1124835,188,4888,M19.01,Monterrey
19040,19,Nuevo León,Parás,1083,0,0,NA,NA
19041,19,Nuevo León,Pesquería,112583,0,0,M19.01,Monterrey
19042,19,Nuevo León,Los Ramones,5201,0,0,NA,NA
19043,19,Nuevo León,Rayones,2987,0,0,NA,NA
19044,19,Nuevo León,Sabinas Hidalgo,39096,0,43,NA,NA
19045,19,Nuevo León,Salinas Victoria,61868,0,0,M19.01,Monterrey
19046,19,Nuevo León,San Nicolás de los Garza,474163,22,536,M19.01,Monterrey
19047,19,Nuevo León,Hidalgo,15902,0,0,M19.01,Monterrey
19048,19,Nuevo León,Santa Catarina,322051,0,13,M19.01,Monterrey
19049,19,Nuevo León,Santiago,46955,0,0,M19.01,Monterrey
19050,19,Nuevo León,Vallecillo,1942,0,0,NA,NA
19051,19,Nuevo León,Villaldama,4567,0,0,NA,NA
20001,20,Oaxaca,Abejones,1033,0,0,NA,NA
20002,20,Oaxaca,Acatlán de Pérez Figueroa,47616,0,0,NA,NA
20003,20,Oaxaca,Asunción Cacalotepec,2176,0,0,NA,NA
20004,20,Oaxaca,Asunción Cuyotepeji,1029,0,0,NA,NA
20005,20,Oaxaca,Asunción Ixtaltepec,15831,0,0,NA,NA
20006,20,Oaxaca,Asunción Nochixtlán,19655,0,18,NA,NA
20007,20,Oaxaca,Asunción Ocotlán,2496,0,0,NA,NA
20008,20,Oaxaca,Asunción Tlacolulita,804,0,0,NA,NA
20009,20,Oaxaca,Ayotzintepec,7452,0,0,NA,NA
20010,20,Oaxaca,El Barrio de la Soledad,14895,0,0,NA,NA
20011,20,Oaxaca,Calihualá,1197,0,0,NA,NA
20012,20,Oaxaca,Candelaria Loxicha,10829,0,0,NA,NA
20013,20,Oaxaca,Ciénega de Zimatlán,3096,0,0,NA,NA
20014,20,Oaxaca,Ciudad Ixtepec,30368,0,60,NA,NA
20015,20,Oaxaca,Coatecas Altas,4738,0,0,NA,NA
20016,20,Oaxaca,Coicoyán de las Flores,10372,0,0,NA,NA
20017,20,Oaxaca,La Compañía,3399,0,0,NA,NA
20018,20,Oaxaca,Concepción Buenavista,826,0,0,NA,NA
20019,20,Oaxaca,Concepción Pápalo,3078,0,0,NA,NA
20020,20,Oaxaca,Constancia del Rosario,4086,0,0,NA,NA
20021,20,Oaxaca,Cosolapa,16254,0,18,NA,NA
20022,20,Oaxaca,Cosoltepec,790,0,0,NA,NA
20023,20,Oaxaca,Cuilápam de Guerrero,22761,0,0,NA,NA
20024,20,Oaxaca,Cuyamecalco Villa de Zaragoza,3804,0,0,NA,NA
20025,20,Oaxaca,Chahuites,12034,0,0,NA,NA
20026,20,Oaxaca,Chalcatongo de Hidalgo,9427,0,19,NA,NA
20027,20,Oaxaca,Chiquihuitlán de Benito Juárez,2418,0,0,NA,NA
20028,20,Oaxaca,Heroica Ciudad de Ejutla de Crespo,21913,0,0,NA,NA
20029,20,Oaxaca,Eloxochitlán de Flores Magón,4443,0,0,NA,NA
20030,20,Oaxaca,El Espinal,9121,0,0,NA,NA
20031,20,Oaxaca,Tamazulápam del Espíritu Santo,7677,0,13,NA,NA
20032,20,Oaxaca,Fresnillo de Trujano,1060,0,0,NA,NA
20033,20,Oaxaca,Guadalupe Etla,2822,0,0,NA,NA
20034,20,Oaxaca,Guadalupe de Ramírez,1325,0,0,NA,NA
20035,20,Oaxaca,Guelatao de Juárez,570,0,0,NA,NA
20036,20,Oaxaca,Guevea de Humboldt,5479,0,0,NA,NA
20037,20,Oaxaca,Mesones Hidalgo,4554,0,0,NA,NA
20038,20,Oaxaca,Villa Hidalgo,2021,0,0,NA,NA
20039,20,Oaxaca,Heroica Ciudad de Huajuapan de León,81271,0,68,NA,NA
20040,20,Oaxaca,Huautepec,6449,0,0,NA,NA
20041,20,Oaxaca,Huautla de Jiménez,32459,0,24,NA,NA
20042,20,Oaxaca,Ixtlán de Juárez,8521,0,13,NA,NA
20043,20,Oaxaca,Heroica Ciudad de Juchitán de Zaragoza,103241,0,120,NA,NA
20044,20,Oaxaca,Loma Bonita,44584,0,12,NA,NA
20045,20,Oaxaca,Magdalena Apasco,9300,0,0,M20.01,Oaxaca
20046,20,Oaxaca,Magdalena Jaltepec,3311,0,0,NA,NA
20047,20,Oaxaca,Santa Magdalena Jicotlán,95,NA,NA,NA,NA
20048,20,Oaxaca,Magdalena Mixtepec,1401,0,0,NA,NA
20049,20,Oaxaca,Magdalena Ocotlán,1209,0,0,NA,NA
20050,20,Oaxaca,Magdalena Peñasco,3644,0,0,NA,NA
20051,20,Oaxaca,Magdalena Teitipac,4782,0,0,NA,NA
20052,20,Oaxaca,Magdalena Tequisistlán,6361,0,0,NA,NA
20053,20,Oaxaca,Magdalena Tlacotepec,1302,0,0,NA,NA
20054,20,Oaxaca,Magdalena Zahuatlán,427,0,0,NA,NA
20055,20,Oaxaca,Mariscala de Juárez,3682,0,0,NA,NA
20056,20,Oaxaca,Mártires de Tacubaya,1497,0,0,NA,NA
20057,20,Oaxaca,Matías Romero Avendaño,40690,0,42,NA,NA
20058,20,Oaxaca,Mazatlán Villa de Flores,13516,0,0,NA,NA
20059,20,Oaxaca,Miahuatlán de Porfirio Díaz,45679,0,37,NA,NA
20060,20,Oaxaca,Mixistlán de la Reforma,2713,0,0,NA,NA
20061,20,Oaxaca,Monjas,2846,0,0,NA,NA
20062,20,Oaxaca,Natividad,626,0,0,NA,NA
20063,20,Oaxaca,Nazareno Etla,4234,0,0,M20.01,Oaxaca
20064,20,Oaxaca,Nejapa de Madero,7729,0,13,NA,NA
20065,20,Oaxaca,Ixpantepec Nieves,1184,0,0,NA,NA
20066,20,Oaxaca,Santiago Niltepec,5572,0,0,NA,NA
20067,20,Oaxaca,Oaxaca de Juárez,258636,21,552,M20.01,Oaxaca
20068,20,Oaxaca,Ocotlán de Morelos,22936,0,0,NA,NA
20069,20,Oaxaca,La Pe,2745,0,0,NA,NA
20070,20,Oaxaca,Pinotepa de Don Luis,7201,0,0,NA,NA
20071,20,Oaxaca,Pluma Hidalgo,2996,0,0,NA,NA
20072,20,Oaxaca,San José del Progreso,7071,0,0,NA,NA
20073,20,Oaxaca,Putla Villa de Guerrero,34568,2,67,NA,NA
20074,20,Oaxaca,Santa Catarina Quioquitani,554,0,0,NA,NA
20075,20,Oaxaca,Reforma de Pineda,2896,0,0,NA,NA
20076,20,Oaxaca,La Reforma,3324,0,0,NA,NA
20077,20,Oaxaca,Reyes Etla,4087,0,0,NA,NA
20078,20,Oaxaca,Rojas de Cuauhtémoc,1160,0,0,NA,NA
20079,20,Oaxaca,Salina Cruz,92577,6,179,M20.02,Tehuantepec
20080,20,Oaxaca,San Agustín Amatengo,1475,0,0,NA,NA
20081,20,Oaxaca,San Agustín Atenango,1800,0,0,NA,NA
20082,20,Oaxaca,San Agustín Chayuco,4096,0,0,NA,NA
20083,20,Oaxaca,San Agustín de las Juntas,10151,0,6,M20.01,Oaxaca
20084,20,Oaxaca,San Agustín Etla,4278,0,0,NA,NA
20085,20,Oaxaca,San Agustín Loxicha,25684,0,0,NA,NA
20086,20,Oaxaca,San Agustín Tlacotepec,980,0,0,NA,NA
20087,20,Oaxaca,San Agustín Yatareni,4610,0,0,M20.01,Oaxaca
20088,20,Oaxaca,San Andrés Cabecera Nueva,2867,0,0,NA,NA
20089,20,Oaxaca,San Andrés Dinicuiti,2199,0,0,NA,NA
20090,20,Oaxaca,San Andrés Huaxpaltepec,6381,0,0,NA,NA
20091,20,Oaxaca,San Andrés Huayápam,5655,0,0,M20.01,Oaxaca
20092,20,Oaxaca,San Andrés Ixtlahuaca,1666,0,0,NA,NA
20093,20,Oaxaca,San Andrés Lagunas,505,0,0,NA,NA
20094,20,Oaxaca,San Andrés Nuxiño,1814,0,0,NA,NA
20095,20,Oaxaca,San Andrés Paxtlán,4502,0,0,NA,NA
20096,20,Oaxaca,San Andrés Sinaxtla,778,0,0,NA,NA
20097,20,Oaxaca,San Andrés Solaga,1779,0,0,NA,NA
20098,20,Oaxaca,San Andrés Teotilálpam,4590,0,0,NA,NA
20099,20,Oaxaca,San Andrés Tepetlapa,525,0,0,NA,NA
20100,20,Oaxaca,San Andrés Yaá,462,0,0,NA,NA
20101,20,Oaxaca,San Andrés Zabache,735,0,0,NA,NA
20102,20,Oaxaca,San Andrés Zautla,4838,0,0,NA,NA
20103,20,Oaxaca,San Antonino Castillo Velasco,6330,0,0,NA,NA
20104,20,Oaxaca,San Antonino el Alto,2788,0,0,NA,NA
20105,20,Oaxaca,San Antonino Monte Verde,7456,0,0,NA,NA
20106,20,Oaxaca,San Antonio Acutla,269,NA,NA,NA,NA
20107,20,Oaxaca,San Antonio de la Cal,25602,0,0,M20.01,Oaxaca
20108,20,Oaxaca,San Antonio Huitepec,4563,0,0,NA,NA
20109,20,Oaxaca,San Antonio Nanahuatípam,1279,0,0,NA,NA
20110,20,Oaxaca,San Antonio Sinicahua,1631,0,0,NA,NA
20111,20,Oaxaca,San Antonio Tepetlapa,4460,0,0,NA,NA
20112,20,Oaxaca,San Baltazar Chichicápam,2610,0,0,NA,NA
20113,20,Oaxaca,San Baltazar Loxicha,3072,0,0,NA,NA
20114,20,Oaxaca,San Baltazar Yatzachi el Bajo,678,0,0,NA,NA
20115,20,Oaxaca,San Bartolo Coyotepec,10186,11,342,M20.01,Oaxaca
20116,20,Oaxaca,San Bartolomé Ayautla,4660,0,0,NA,NA
20117,20,Oaxaca,San Bartolomé Loxicha,2423,0,0,NA,NA
20118,20,Oaxaca,San Bartolomé Quialana,2541,0,0,NA,NA
20119,20,Oaxaca,San Bartolomé Yucuañe,391,0,0,NA,NA
20120,20,Oaxaca,San Bartolomé Zoogocho,316,0,0,NA,NA
20121,20,Oaxaca,San Bartolo Soyaltepec,674,NA,NA,NA,NA
20122,20,Oaxaca,San Bartolo Yautepec,678,0,0,NA,NA
20123,20,Oaxaca,San Bernardo Mixtepec,2790,0,0,NA,NA
20124,20,Oaxaca,San Blas Atempa,18929,0,0,M20.02,Tehuantepec
20125,20,Oaxaca,San Carlos Yautepec,12562,0,0,NA,NA
20126,20,Oaxaca,San Cristóbal Amatlán,5419,0,0,NA,NA
20127,20,Oaxaca,San Cristóbal Amoltepec,1147,0,0,NA,NA
20128,20,Oaxaca,San Cristóbal Lachirioag,1300,0,0,NA,NA
20129,20,Oaxaca,San Cristóbal Suchixtlahuaca,375,0,0,NA,NA
20130,20,Oaxaca,San Dionisio del Mar,5370,0,0,NA,NA
20131,20,Oaxaca,San Dionisio Ocotepec,11119,0,0,NA,NA
20132,20,Oaxaca,San Dionisio Ocotlán,1200,0,0,NA,NA
20133,20,Oaxaca,San Esteban Atatlahuca,3894,0,4,NA,NA
20134,20,Oaxaca,San Felipe Jalapa de Díaz,29048,0,0,NA,NA
20135,20,Oaxaca,San Felipe Tejalápam,8185,0,0,NA,NA
20136,20,Oaxaca,San Felipe Usila,12029,0,0,NA,NA
20137,20,Oaxaca,San Francisco Cahuacuá,3509,0,0,NA,NA
20138,20,Oaxaca,San Francisco Cajonos,446,0,0,NA,NA
20139,20,Oaxaca,San Francisco Chapulapa,2140,0,0,NA,NA
20140,20,Oaxaca,San Francisco Chindúa,841,0,0,NA,NA
20141,20,Oaxaca,San Francisco del Mar,8091,0,0,NA,NA
20142,20,Oaxaca,San Francisco Huehuetlán,1110,0,0,NA,NA
20143,20,Oaxaca,San Francisco Ixhuatán,9296,0,0,NA,NA
20144,20,Oaxaca,San Francisco Jaltepetongo,1024,0,0,NA,NA
20145,20,Oaxaca,San Francisco Lachigoló,4546,0,0,NA,NA
20146,20,Oaxaca,San Francisco Logueche,3026,0,0,NA,NA
20147,20,Oaxaca,San Francisco Nuxaño,387,NA,NA,NA,NA
20148,20,Oaxaca,San Francisco Ozolotepec,1973,0,0,NA,NA
20149,20,Oaxaca,San Francisco Sola,1773,0,0,NA,NA
20150,20,Oaxaca,San Francisco Telixtlahuaca,13482,0,2,NA,NA
20151,20,Oaxaca,San Francisco Teopan,345,0,0,NA,NA
20152,20,Oaxaca,San Francisco Tlapancingo,2357,0,0,NA,NA
20153,20,Oaxaca,San Gabriel Mixtepec,5087,0,0,NA,NA
20154,20,Oaxaca,San Ildefonso Amatlán,2575,0,0,NA,NA
20155,20,Oaxaca,San Ildefonso Sola,1007,NA,NA,NA,NA
20156,20,Oaxaca,San Ildefonso Villa Alta,3537,0,13,NA,NA
20157,20,Oaxaca,San Jacinto Amilpas,18293,0,0,M20.01,Oaxaca
20158,20,Oaxaca,San Jacinto Tlacotepec,2260,0,12,NA,NA
20159,20,Oaxaca,San Jerónimo Coatlán,5501,0,0,NA,NA
20160,20,Oaxaca,San Jerónimo Silacayoapilla,1414,0,0,NA,NA
20161,20,Oaxaca,San Jerónimo Sosola,2688,0,0,NA,NA
20162,20,Oaxaca,San Jerónimo Taviche,2002,0,0,NA,NA
20163,20,Oaxaca,San Jerónimo Tecóatl,1669,0,0,NA,NA
20164,20,Oaxaca,San Jorge Nuchita,2937,0,57,NA,NA
20165,20,Oaxaca,San José Ayuquila,1594,0,0,NA,NA
20166,20,Oaxaca,San José Chiltepec,12573,0,0,NA,NA
20167,20,Oaxaca,San José del Peñasco,2205,0,0,NA,NA
20168,20,Oaxaca,San José Estancia Grande,1092,0,0,NA,NA
20169,20,Oaxaca,San José Independencia,3825,0,0,NA,NA
20170,20,Oaxaca,San José Lachiguiri,3620,0,0,NA,NA
20171,20,Oaxaca,San José Tenango,18952,0,0,NA,NA
20172,20,Oaxaca,San Juan Achiutla,417,0,0,NA,NA
20173,20,Oaxaca,San Juan Atepec,1540,0,0,NA,NA
20174,20,Oaxaca,Ánimas Trujano,4207,0,0,M20.01,Oaxaca
20175,20,Oaxaca,San Juan Bautista Atatlahuca,1652,0,0,NA,NA
20176,20,Oaxaca,San Juan Bautista Coixtlahuaca,2758,0,0,NA,NA
20177,20,Oaxaca,San Juan Bautista Cuicatlán,10341,0,33,NA,NA
20178,20,Oaxaca,San Juan Bautista Guelache,7863,0,0,NA,NA
20179,20,Oaxaca,San Juan Bautista Jayacatlán,1550,0,0,NA,NA
20180,20,Oaxaca,San Juan Bautista Lo de Soto,2653,0,0,NA,NA
20181,20,Oaxaca,San Juan Bautista Suchitepec,458,0,0,NA,NA
20182,20,Oaxaca,San Juan Bautista Tlacoatzintepec,2248,0,0,NA,NA
20183,20,Oaxaca,San Juan Bautista Tlachichilco,1440,0,0,NA,NA
20184,20,Oaxaca,San Juan Bautista Tuxtepec,170588,0,71,NA,NA
20185,20,Oaxaca,San Juan Cacahuatepec,9264,0,0,NA,NA
20186,20,Oaxaca,San Juan Cieneguilla,598,0,0,NA,NA
20187,20,Oaxaca,San Juan Coatzóspam,2176,0,0,NA,NA
20188,20,Oaxaca,San Juan Colorado,10329,0,0,NA,NA
20189,20,Oaxaca,San Juan Comaltepec,2937,0,0,NA,NA
20190,20,Oaxaca,San Juan Cotzocón,24519,0,30,NA,NA
20191,20,Oaxaca,San Juan Chicomezúchil,344,0,0,NA,NA
20192,20,Oaxaca,San Juan Chilateca,1585,0,0,NA,NA
